08:45:20 INF [API] listening addr=127.0.0.1:52578
08:45:20 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
08:45:20 WRN [TCP] dial failed error=lookup raw.githubusercontent.com: no such host proxy=DIRECT rAddr=raw.githubusercontent.com:443
08:45:20 WRN [TCP] dial failed error=lookup api.github.com: no such host proxy=DIRECT rAddr=api.github.com:443
08:45:20 WRN [TCP] dial failed error=lookup install.cdn-sd.xyz: no such host proxy=DIRECT rAddr=install.cdn-sd.xyz:443
08:45:20 WRN [TCP] dial failed error=lookup starlink.rodeo: no such host proxy=DIRECT rAddr=starlink.rodeo:443
08:45:20 WRN [TCP] dial failed error=lookup raw.githubusercontent.com: no such host proxy=DIRECT rAddr=raw.githubusercontent.com:443
08:45:20 WRN [TCP] dial failed error=lookup starlink.rodeo: no such host proxy=DIRECT rAddr=starlink.rodeo:443
08:45:20 WRN [TCP] dial failed error=lookup api.github.com: no such host proxy=DIRECT rAddr=api.github.com:443
08:45:20 WRN [TCP] dial failed error=lookup install.cdn-sd.xyz: no such host proxy=DIRECT rAddr=install.cdn-sd.xyz:443
08:45:21 WRN [TCP] dial failed error=lookup starlink.rodeo: no such host proxy=DIRECT rAddr=starlink.rodeo:443
08:45:21 WRN [TCP] dial failed error=lookup raw.githubusercontent.com: no such host proxy=DIRECT rAddr=raw.githubusercontent.com:443
08:45:21 WRN [TCP] dial failed error=lookup install.cdn-sd.xyz: no such host proxy=DIRECT rAddr=install.cdn-sd.xyz:443
08:45:21 WRN [TCP] dial failed error=lookup starlink.rodeo: no such host proxy=DIRECT rAddr=starlink.rodeo:443
08:45:21 WRN [TCP] dial failed error=lookup api.github.com: no such host proxy=DIRECT rAddr=api.github.com:443
08:45:21 WRN [TCP] dial failed error=lookup api.github.com: no such host proxy=DIRECT rAddr=api.github.com:443
08:45:21 INF [Config] initial compatible provider name=故障转移
08:45:21 INF [Config] initial compatible provider name=自动选择
08:45:21 INF [Config] initial compatible provider name=闪电⚡
08:45:23 WRN [Metadata] parse failed error=script not found
08:45:23 WRN [Metadata] parse failed error=script not found
08:45:23 WRN [Metadata] parse failed error=script not found
08:45:24 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:26 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:27 WRN [Metadata] parse failed error=script not found
08:45:28 WRN [Metadata] parse failed error=script not found
08:45:28 WRN [Metadata] parse failed error=script not found
08:45:28 WRN [Metadata] parse failed error=script not found
08:45:28 WRN [Metadata] parse failed error=script not found
08:45:29 WRN [Metadata] parse failed error=script not found
08:45:29 WRN [Metadata] parse failed error=script not found
08:45:29 WRN [Metadata] parse failed error=script not found
08:45:29 WRN [Metadata] parse failed error=script not found
08:45:29 WRN [Metadata] parse failed error=script not found
08:45:29 WRN [Metadata] parse failed error=script not found
08:45:31 WRN [Metadata] parse failed error=script not found
08:45:31 WRN [Metadata] parse failed error=script not found
08:45:32 WRN [Metadata] parse failed error=script not found
08:45:32 WRN [Metadata] parse failed error=script not found
